,0,1,2,3,4,5,6,7,8,9
39,-0.19,-0.08,-0.44,-0.34,-1.16,-0.25,-0.62,-0.36,-0.22,-0.16
40,-0.08,-0.05,-0.42,-0.3,-1.07,-0.31,-0.56,-0.42,-0.4,-0.21
41,-0.11,-0.09,-0.41,-0.23,-1.32,-0.3,-0.97,-0.47,-0.32,-0.22
42,-0.22,-0.1,-0.57,-0.36,-1.58,-0.29,-1.09,-0.55,-0.46,-0.24
43,-0.23,-0.08,-0.63,-0.35,-1.11,-0.36,-0.5,-0.57,-0.51,-0.24
44,-0.18,-0.08,-0.63,-0.35,-1.13,-0.36,-0.45,-0.56,-0.51,-0.23
45,-0.18,-0.07,-0.64,-0.35,-1.13,-0.36,-0.47,-0.53,-0.49,-0.22
46,-0.2,-0.11,-0.49,-0.34,-1.17,-0.4,-0.55,-0.6,-0.39,-0.27
47,-0.22,-0.12,-0.35,-0.35,-1.13,-0.46,-0.69,-0.78,-0.36,-0.32
48,-0.38,-0.12,-0.28,-0.4,-0.81,-0.24,-0.55,-0.82,-0.32,-0.5
49,-0.57,-0.1,-0.3,-0.59,-0.9,-0.23,-0.79,-1,-0.45,-0.71
50,-0.89,-0.09,-0.52,-0.51,-1.14,-0.2,-1.21,-1.04,-0.51,-0.75
51,-0.89,-0.1,-0.58,-0.54,-1.25,-0.23,-1.22,-1,-0.66,-0.67
52,-0.8,-0.09,-0.49,-0.54,-1.01,-0.22,-1.04,-1.04,-0.6,-0.73
53,-0.77,-0.06,-0.57,-0.57,-1.2,-0.27,-1.15,-1.02,-0.76,-0.73
54,-0.61,-0.06,-0.91,-0.44,-0.98,-0.21,-0.93,-0.92,-0.64,-0.66
55,-0.73,-0.08,-0.87,-0.57,-1.15,-0.24,-1.11,-1.1,-0.68,-0.75
56,-0.66,-0.12,-0.91,-0.66,-1.15,-0.25,-1.09,-1.05,-0.67,-0.8
57,-0.5,-0.18,-0.87,-0.78,-1.42,-0.26,-1.09,-1.14,-0.82,-0.94
58,-0.64,-0.61,-1.21,-1.14,-1.52,-0.3,-1.24,-1.14,-0.8,-0.96
59,-0.66,-0.66,-1.21,-1.1,-1.46,-0.3,-1.26,-1.23,-0.78,-1.04
60,-1.32,-0.76,-1.38,-1.22,-1.36,-0.21,-1.94,-1.37,-0.59,-1.21
61,-1.69,-0.76,-1.36,-1.34,-1.56,-0.27,-2.29,-1.41,-0.66,-1.36
62,-3.22,-1.28,-2.25,-1.92,-2.76,-0.37,-3.6,-2.15,-0.89,-1.88
63,-3.2,-1.3,-2.18,-1.99,-2.83,-0.33,-3.65,-2.05,-0.99,-1.9
